"Name","DisplayName","Status","StartType","Path"
"AarSvc_2bb48ad3","Agent Activation Runtime_2bb48ad3","Stopped","Manual",
"AdobeARMservice","Adobe Acrobat Update Service","Running","Automatic",
"ALG","Servicio de puerta de enlace de nivel de aplicación","Stopped","Manual",
"AppIDSvc","Identidad de aplicación","Stopped","Manual",
"Appinfo","Información de la aplicación","Running","Manual",
"AppReadiness","Preparación de aplicaciones","Stopped","Manual",
"AppXSvc","Servicio de implementación de AppX (AppXSVC)","Running","Manual",
"ApxSvc","Servicio de proxy de dispositivo de audio virtual de Windows","Stopped","Manual",
"AudioEndpointBuilder","Compilador de extremo de audio de Windows","Running","Automatic",
"Audiosrv","Audio de Windows","Running","Automatic",
"autotimesvc","Hora de la red de telefonía móvil","Stopped","Manual",
"AxInstSV","Instalador de ActiveX (AxInstSV)","Stopped","Manual",
"battlenet_helpersvc","Battle.net Update Helper Svc","Stopped","Manual",
"BcastDVRUserService_2bb48ad3","Servicio de usuario de difusión y GameDVR_2bb48ad3","Stopped","Manual",
"BDESVC","Servicio Cifrado de unidad BitLocker","Stopped","Manual",
"BEService","BattlEye Service","Stopped","Manual",
"BFE","Motor de filtrado de base","Running","Automatic",
"BITS","Servicio de transferencia inteligente en segundo plano (BITS)","Stopped","Manual",
"BluetoothUserService_2bb48ad3","Servicio de soporte técnico de usuario de Bluetooth_2bb48ad3","Running","Manual",
"brave","Servicio de Brave Update (brave)","Stopped","Automatic",
"BraveElevationService","Brave Elevation Service (BraveElevationService)","Stopped","Manual",
"bravem","Servicio de Brave Update (bravem)","Stopped","Manual",
"BrokerInfrastructure","Servicio de infraestructura de tareas en segundo plano","Running","Automatic",
"BTAGService","Servicio de puerta de enlace de audio de Bluetooth","Running","Manual",
"BthAvctpSvc","Servicio AVCTP","Running","Manual",
"bthserv","Servicio de compatibilidad con Bluetooth","Running","Manual",
"camsvc","Servicio Administrador de funcionalidad de acceso","Running","Manual",
"CaptureService_2bb48ad3","CaptureService_2bb48ad3","Stopped","Manual",
"cbdhsvc_2bb48ad3","Servicio de usuario del portapapeles_2bb48ad3","Running","Automatic",
"CDPSvc","Servicio de plataforma de dispositivos conectados","Running","Automatic",
"CDPUserSvc_2bb48ad3","Servicio de usuario de plataforma de dispositivos conectados_2bb48ad3","Running","Automatic",
"CertPropSvc","Propagación de certificados","Running","Manual",
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic",
"ClipSVC","Servicio de licencia de cliente (ClipSVC)","Stopped","Manual",
"CloudBackupRestoreSvc_2bb48ad3","Servicio de copia de seguridad y restauración en la nube_2bb48ad3","Stopped","Manual",
"CloudflareWARP","Cloudflare WARP","Running","Automatic",
"COMSysApp","Aplicación del sistema COM+","Stopped","Manual",
"ConsentUxUserSvc_2bb48ad3","Servicio de usuario ConsentUX_2bb48ad3","Stopped","Manual",
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic",
"cphs","Intel(R) Content Protection HECI Service","Running","Manual",
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic",
"CredentialEnrollmentManagerUserSvc_2bb48ad3","CredentialEnrollmentManagerUserSvc_2bb48ad3","Stopped","Manual",
"CryptSvc","Servicios de cifrado","Running","Automatic",
"DcomLaunch","Iniciador de procesos de servidor DCOM","Running","Automatic",
"dcsvc","Servicio de configuración (DC) declarado","Stopped","Manual",
"defragsvc","Optimizar unidades","Stopped","Manual",
"DeviceAssociationBrokerSvc_2bb48ad3","DeviceAssociationBroker_2bb48ad3","Stopped","Manual",
"DeviceAssociationService","Servicio de asociación de dispositivos","Running","Automatic",
"DeviceInstall","Servicio de instalación de dispositivos","Running","Manual",
"DevicePickerUserSvc_2bb48ad3","DevicePicker_2bb48ad3","Stopped","Manual",
"DevicesFlowUserSvc_2bb48ad3","DevicesFlow_2bb48ad3","Running","Manual",
"DevQueryBroker","Agente de detección en segundo plano de DevQuery","Running","Manual",
"Dhcp","Cliente DHCP","Running","Automatic",
"diagsvc","Diagnostic Execution Service","Stopped","Manual",
"DiagTrack","Experiencias del usuario y telemetría asociadas","Running","Automatic",
"DispBrokerDesktopSvc","Servicio de directivas de pantallas","Running","Automatic",
"DisplayEnhancementService","Servicio de mejora de visualización","Running","Manual",
"DmEnrollmentSvc","Servicio de inscripción de administración de dispositivos","Stopped","Manual",
"dmwappushservice","Servicio de enrutamiento de mensajes de inserción del Protocolo de aplicación inalámbrica (WAP) de administración de dispositivos","Stopped","Manual",
"Dnscache","Cliente DNS","Running","Automatic",
"DoSvc","Optimización de distribución","Running","Automatic",
